Data,Vendas ,Temperatura
2021-03-07,0,36.0
2021-03-11,4,43.0
2021-03-15,4,32.0
2021-03-19,4,34.0
2021-03-23,2,37.0
2021-03-27,3,36.0
2021-03-31,1,39.0
2021-04-04,1,24.0
2021-04-08,1,37.0
2021-04-12,2,40.0
2021-04-15,0,38.0
2021-04-19,2,46.0
2021-04-23,1,32.0
2021-04-27,3,28.0
2021-05-01,2,35.0
2021-05-05,2,30.0
2021-05-09,0,45.0
2021-05-13,1,30.0
2021-05-17,3,47.0
2021-05-20,3,39.0
2021-05-24,1,29.0
2021-05-28,3,38.0
2021-06-01,4,45.0
2021-06-05,2,30.0
2021-06-09,2,35.0
2021-06-13,1,43.0
2021-06-17,2,32.0
2021-06-21,1,25.0
2021-06-24,1,32.0
2021-06-28,1,31.0
2021-07-02,2,26.0
2021-07-06,0,31.0
2021-07-10,1,43.0
2021-07-14,0,39.0
2021-07-18,3,40.0
2021-07-22,2,32.0
2021-07-26,3,45.0
2021-07-29,1,32.0
2021-08-02,4,31.0
2021-08-06,4,40.0
2021-08-10,0,25.0
2021-08-14,1,47.0
2021-08-18,4,30.0
2021-08-22,4,42.0
2021-08-26,4,35.0
2021-08-30,4,46.0
2021-09-03,3,36.0
2021-09-06,1,44.0
2021-09-10,3,46.0
2021-09-14,3,45.0
2021-09-18,3,31.0
2021-09-22,2,45.0
2021-09-26,4,36.0
2021-09-30,2,27.0
2021-10-04,4,43.0
2021-10-08,1,40.0
2021-10-11,2,42.0
2021-10-15,4,25.0
2021-10-19,2,29.0
2021-10-23,0,30.0
2021-10-27,1,39.0
2021-10-31,0,26.0
2021-11-04,2,33.0
2021-11-08,2,30.0
2021-11-12,1,31.0
2021-11-15,1,38.0
2021-11-19,2,39.0
2021-11-23,2,31.0
2021-11-27,3,47.0
2021-12-01,2,27.0
2021-12-05,1,36.0
2021-12-09,2,47.0
2021-12-13,3,48.0
2021-12-17,1,37.0
2021-12-20,0,41.0
2021-12-24,4,37.0
2021-12-28,1,34.0
2022-01-01,1,43.0
2022-01-05,4,31.0
2022-01-09,4,28.0
2022-01-13,2,25.0
2022-01-17,0,46.0
2022-01-21,0,43.0
2022-01-25,2,46.0
2022-01-28,3,28.0
2022-02-01,0,32.0
2022-02-05,3,32.0
2022-02-09,4,25.0
2022-02-13,0,29.0
2022-02-17,4,38.0
2022-02-21,3,30.0
2022-02-25,4,47.0
2022-03-01,1,47.0
2022-03-04,0,47.0
2022-03-08,2,41.0
2022-03-12,0,42.0
2022-03-16,2,46.0
2022-03-20,4,38.0
2022-03-24,4,47.0
2022-03-28,2,40.0
2022-04-01,0,45.0
2022-04-05,3,38.0
2022-04-08,3,45.0
2022-04-12,0,39.0
2022-04-16,2,38.0
2022-04-20,3,28.0
2022-04-24,3,34.0
2022-04-28,0,38.0
2022-05-02,1,43.0
2022-05-06,1,31.0
2022-05-10,0,37.0
2022-05-13,3,47.0
2022-05-17,0,38.0
2022-05-21,4,30.0
2022-05-25,4,42.0
2022-05-29,3,34.0
2022-06-02,0,24.0
2022-06-06,2,42.0
2022-06-10,1,47.0
2022-06-14,3,45.0
2022-06-18,4,31.0
2022-06-21,4,32.0
2022-06-25,3,33.0
2022-06-29,1,35.0
2022-07-03,2,41.0
2022-07-07,2,32.0
2022-07-11,4,38.0
2022-07-15,1,42.0
2022-07-19,4,41.0
2022-07-23,1,35.0
2022-07-26,2,32.0
2022-07-30,0,31.0
2022-08-03,2,34.0
2022-08-07,1,27.0
2022-08-11,4,27.0
2022-08-15,1,42.0
2022-08-19,2,48.0
2022-08-23,0,45.0
2022-08-27,3,27.0
2022-08-30,4,42.0
2022-09-03,4,48.0
2022-09-07,1,28.0
2022-09-11,1,40.0
2022-09-15,2,36.0
2022-09-19,3,39.0
2022-09-23,1,45.0
2022-09-27,4,26.0
2022-10-01,4,42.0
2022-10-04,3,41.0
2022-10-08,1,24.0
2022-10-12,0,26.0
2022-10-16,4,38.0
2022-10-20,3,45.0
2022-10-24,1,48.0
2022-10-28,1,32.0
2022-11-01,2,25.0
2022-11-05,2,25.0
2022-11-08,4,31.0
2022-11-12,3,25.0
2022-11-16,1,39.0
2022-11-20,0,34.0
2022-11-24,1,29.0
2022-11-28,4,40.0
2022-12-02,0,36.0
2022-12-06,0,26.0
2022-12-10,2,46.0
2022-12-14,4,41.0
2022-12-17,4,31.0
2022-12-21,3,30.0
2022-12-25,1,30.0
2022-12-29,0,27.0
2023-01-02,4,29.0
2023-01-06,4,36.0
2023-01-10,3,37.0
2023-01-14,1,25.0
2023-01-18,3,25.0
2023-01-21,0,25.0
2023-01-25,0,31.0
2023-01-29,4,39.0
2023-02-02,3,38.0
2023-02-06,2,42.0
2023-02-10,4,44.0
2023-02-14,0,37.0
2023-02-18,1,45.0
2023-02-22,1,43.0
2023-02-25,1,27.0
2023-03-01,1,41.0
2023-03-05,0,32.0
2023-03-09,1,26.0
2023-03-13,0,44.0
2023-03-17,2,45.0
2023-03-21,2,33.0
2023-03-25,3,25.0
2023-03-29,4,44.0
2023-04-01,1,47.0
2023-04-05,2,27.0
2023-04-09,0,29.0
2023-04-13,4,28.0
2023-04-17,4,36.0
2023-04-21,0,47.0
2023-04-25,2,43.0
2023-04-29,4,36.0
2023-05-03,1,44.0
2023-05-07,0,26.0
2023-05-10,3,34.0
2023-05-14,2,26.0
2023-05-18,0,40.0
2023-05-22,3,38.0
2023-05-26,0,40.0
2023-05-30,2,32.0
2023-06-03,1,41.0
2023-06-07,3,43.0
2023-06-11,4,29.0
2023-06-14,3,44.0
2023-06-18,2,46.0
2023-06-22,4,30.0
2023-06-26,2,24.0
2023-06-30,1,40.0
2023-07-04,0,41.0
2023-07-08,0,44.0
2023-07-12,4,42.0
2023-07-16,0,48.0
2023-07-19,2,34.0
2023-07-23,3,45.0
2023-07-27,4,33.0
2023-07-31,3,36.0
2023-08-04,1,47.0
2023-08-08,1,27.0
2023-08-12,0,42.0
2023-08-16,0,35.0
2023-08-20,2,25.0
2023-08-23,0,40.0
2023-08-27,1,36.0
2023-08-31,4,26.0
2023-09-04,1,48.0
2023-09-08,1,29.0
2023-09-12,4,44.0
2023-09-16,4,33.0
2023-09-20,1,36.0
2023-09-24,0,40.0
2023-09-28,0,39.0
2023-10-01,4,42.0
2023-10-05,2,30.0
2023-10-09,2,38.0
2023-10-13,0,25.0
2023-10-17,0,35.0
2023-10-21,2,40.0
2023-10-25,3,36.0
2023-10-29,3,43.0
2023-11-02,4,24.0
2023-11-05,2,40.0
2023-11-09,2,42.0
2023-11-13,2,46.0
2023-11-17,4,43.0
2023-11-21,0,45.0
2023-11-25,4,29.0
2023-11-29,4,27.0
2023-12-03,4,35.0
2023-12-07,3,31.0
2023-12-10,0,34.0
2023-12-14,4,42.0
2023-12-18,2,32.0
2023-12-22,2,43.0
2023-12-26,1,25.0
2023-12-30,1,24.0
2024-01-03,1,43.0
2024-01-07,4,35.0
2024-01-11,3,40.0
2024-01-14,2,40.0
2024-01-18,3,38.0
2024-01-22,2,41.0
2024-01-26,2,26.0
2024-01-30,2,26.0
2024-02-03,1,43.0
2024-02-07,3,33.0
2024-02-11,4,31.0
2024-02-15,4,43.0
2024-02-19,0,48.0
2024-02-22,2,24.0
2024-02-26,4,28.0
2024-03-01,1,28.0
2024-03-05,0,32.0
2024-03-09,3,33.0
2024-03-13,2,28.0
2024-03-17,0,35.0
2024-03-21,0,28.0
2024-03-25,1,29.0
2024-03-28,2,39.0
2024-04-01,0,30.0
2024-04-05,0,25.0
2024-04-09,2,37.0
2024-04-13,2,47.0
2024-04-17,1,27.0
2024-04-21,2,38.0
2024-04-25,3,36.0
2024-04-29,2,44.0
2024-05-02,4,44.0
2024-05-06,4,28.0
2024-05-10,0,39.0
2024-05-14,1,30.0
2024-05-18,3,26.0
2024-05-22,2,45.0
2024-05-26,1,24.0
2024-05-30,0,47.0
2024-06-03,0,40.0
2024-06-06,2,36.0
2024-06-10,3,34.0
2024-06-14,1,47.0
2024-06-18,3,34.0
2024-06-22,1,29.0
2024-06-26,2,47.0
2024-06-30,1,36.0
2024-07-04,2,30.0
2024-07-08,0,38.0
2024-07-12,1,46.0
2024-07-15,3,37.0
2024-07-19,1,29.0
2024-07-23,1,30.0
2024-07-27,3,35.0
2024-07-31,0,25.0
2024-08-04,2,44.0
2024-08-08,3,47.0
2024-08-12,1,40.0
2024-08-16,4,29.0
2024-08-19,2,46.0
2024-08-23,2,41.0
2024-08-27,2,38.0
2024-08-31,2,32.0
2024-09-04,4,36.0
2024-09-08,1,28.0
2024-09-12,4,40.0
2024-09-16,3,32.0
2024-09-20,0,32.0
2024-09-23,1,39.0
2024-09-27,3,35.0
2024-10-01,2,25.0
2024-10-05,0,40.0
2024-10-09,0,42.0
2024-10-13,4,35.0
2024-10-17,3,45.0
2024-10-21,1,43.0
2024-10-25,2,48.0
2024-10-28,0,29.0
2024-11-01,2,44.0
2024-11-05,4,47.0
2024-11-09,3,36.0
2024-11-13,4,40.0
2024-11-17,2,39.0
2024-11-21,3,47.0
2024-11-25,3,30.0
2024-11-29,3,35.0
2024-12-03,3,27.0
2024-12-06,4,40.0
2024-12-10,4,36.0
2024-12-14,2,37.0
2024-12-18,3,28.0
2024-12-22,0,28.0
2024-12-26,1,34.0
2024-12-30,3,25.0
2025-01-03,3,31.0
2025-01-07,0,44.0
2025-01-10,3,43.0
2025-01-14,2,25.0
2025-01-18,3,44.0
2025-01-22,2,25.0
2025-01-26,4,29.0
2025-01-30,4,45.0
2025-02-03,1,34.0
2025-02-07,4,25.0
2025-02-11,2,41.0
2025-02-14,0,37.0
2025-02-18,2,41.0
2025-02-22,2,39.0
2025-02-26,4,34.0
2025-03-02,1,46.0
2025-03-06,3,39.0
2025-03-10,0,33.0
2025-03-14,4,28.0
2025-03-18,1,31.0
2025-03-21,2,28.0
2025-03-25,4,26.0
2025-03-29,3,44.0
2025-04-02,4,27.0
2025-04-06,4,41.0
2025-04-10,3,42.0
2025-04-14,2,43.0
2025-04-18,0,42.0
2025-04-22,0,36.0
2025-04-26,1,27.0
